[20/06/2022 14:36:25 - TRACE] VSCode language id: python
[20/06/2022 14:36:27 - TRACE] VSCode language id: python
[20/06/2022 14:36:30 - TRACE] VSCode language id: python
[20/06/2022 14:36:31 - TRACE] VSCode language id: python
[20/06/2022 14:36:33 - TRACE] VSCode language id: python
[20/06/2022 14:36:35 - TRACE] VSCode language id: python
[20/06/2022 14:36:37 - TRACE] VSCode language id: python
[20/06/2022 14:36:40 - TRACE] VSCode language id: python
[20/06/2022 14:37:06 - TRACE] VSCode language id: python
[20/06/2022 14:37:08 - TRACE] VSCode language id: python
[20/06/2022 14:37:13 - TRACE] VSCode language id: python
[20/06/2022 14:37:15 - TRACE] VSCode language id: python
[20/06/2022 14:37:16 - TRACE] VSCode language id: python
[20/06/2022 14:37:18 - TRACE] VSCode language id: python
[20/06/2022 14:37:18 - TRACE] VSCode language id: python
[20/06/2022 14:37:20 - TRACE] VSCode language id: python
[20/06/2022 14:37:21 - TRACE] VSCode language id: python
[20/06/2022 14:37:23 - TRACE] VSCode language id: python
[20/06/2022 14:37:30 - TRACE] VSCode language id: python
[20/06/2022 14:37:32 - TRACE] VSCode language id: python
[20/06/2022 14:37:35 - TRACE] VSCode language id: python
[20/06/2022 14:37:37 - TRACE] VSCode language id: python
[20/06/2022 14:37:42 - TRACE] VSCode language id: python
[20/06/2022 14:37:44 - TRACE] VSCode language id: python
[20/06/2022 14:37:46 - TRACE] VSCode language id: python
[20/06/2022 14:37:48 - TRACE] VSCode language id: python
[20/06/2022 14:37:50 - TRACE] VSCode language id: python
[20/06/2022 14:37:52 - TRACE] VSCode language id: python
[20/06/2022 14:37:55 - TRACE] VSCode language id: python
[20/06/2022 14:37:55 - TRACE] VSCode language id: python
[20/06/2022 14:37:57 - TRACE] VSCode language id: python
[20/06/2022 14:38:00 - TRACE] VSCode language id: python
[20/06/2022 14:38:02 - TRACE] VSCode language id: python
[20/06/2022 14:38:04 - TRACE] VSCode language id: python
[20/06/2022 14:38:28 - TRACE] VSCode language id: python
[20/06/2022 14:38:30 - TRACE] VSCode language id: python
[20/06/2022 14:38:31 - TRACE] VSCode language id: python
[20/06/2022 14:38:33 - TRACE] VSCode language id: python
[20/06/2022 14:38:35 - TRACE] VSCode language id: python
[20/06/2022 14:38:37 - TRACE] VSCode language id: python
[20/06/2022 14:38:39 - TRACE] VSCode language id: python
[20/06/2022 14:38:41 - TRACE] VSCode language id: python
[20/06/2022 14:38:43 - TRACE] VSCode language id: python
[20/06/2022 14:38:46 - TRACE] VSCode language id: python
[20/06/2022 14:38:48 - TRACE] VSCode language id: python
[20/06/2022 14:38:52 - TRACE] VSCode language id: python
[20/06/2022 14:38:54 - TRACE] VSCode language id: python
[20/06/2022 14:38:57 - TRACE] VSCode language id: python
[20/06/2022 14:39:01 - TRACE] VSCode language id: python
[20/06/2022 14:39:03 - TRACE] VSCode language id: python
[20/06/2022 14:39:05 - TRACE] VSCode language id: python
[20/06/2022 14:39:07 - TRACE] VSCode language id: python
[20/06/2022 14:39:30 - TRACE] VSCode language id: python
[20/06/2022 14:39:32 - TRACE] VSCode language id: python
[20/06/2022 14:39:34 - TRACE] VSCode language id: python
[20/06/2022 14:39:40 - TRACE] VSCode language id: python
[20/06/2022 14:39:42 - TRACE] VSCode language id: python
[20/06/2022 14:39:47 - TRACE] VSCode language id: python
[20/06/2022 14:39:54 - TRACE] VSCode language id: python
